year,analytical_entity,source_platform,entity_type,metric,value,unit,phase,value_status,comparability,source_publisher,citation_url,confidence,notes
2020,Legacy Tokopedia,Tokopedia,standalone,gmv_estimate_usd_billion,14.0,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Youngster.id),https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2020,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,35.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Youngster.id),https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,MEDIUM,From processed market_position; secondary MW estimates
2020,Shopee,Shopee,standalone,gmv_estimate_usd_billion,14.2,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Youngster.id),https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2020,Shopee,Shopee,standalone,market_share_pct,37.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Youngster.id),https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,MEDIUM,From processed market_position; secondary MW estimates
2022,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,35.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Kementerian Perdagangan journal / Bisnis),https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,MEDIUM,From processed market_position; secondary MW estimates
2022,Shopee,Shopee,standalone,market_share_pct,36.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Kementerian Perdagangan journal / Bisnis),https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,MEDIUM,From processed market_position; secondary MW estimates
2023,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,30.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via CNBC Indonesia),https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,From processed market_position; secondary MW estimates
2023,Shopee,Shopee,standalone,gmv_estimate_usd_billion,21.52,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via CNBC Indonesia),https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2023,Shopee,Shopee,standalone,market_share_pct,40.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via CNBC Indonesia),https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,From processed market_position; secondary MW estimates
2024,Combined Tokopedia + TikTok Shop,Tokopedia + TikTok Shop,combined_derived,market_share_pct,34.0,percent,phase1_historical_standalone,DERIVED,CONDITIONAL,Derived 23+11 from MW 2024 split,data/processed/market_position/market_position_indonesia.csv,MEDIUM,Additive baseline only if MW 2024 entities non-overlapping; used vs 2025 Combined
2024,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,23.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
