period,period_type,metric,value,unit,company,segment,geography,source,source_url,source_date_accessed,definition,notes
2024,annual,shopee_gmv,100473189274,USD,Sea Limited,Shopee,Multi-country (NOT Indonesia-only),Sea Limited FY2025 results exhibit (back-calculated from FY2025 GMV and stated YoY growth),https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,2026-08-12,GMV includes shipping and other charges per Sea glossary,FY2025 GMV US$127.4B was +26.8% YoY; 2024 implied as 127.4e9/1.268. Not Indonesia-specific.
2024,annual,shopee_gross_orders,10927672956,orders,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit (back-calculated),https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,2026-08-12,Confirmed orders regardless of settlement/returns,FY2025 orders 13.9B were +27.2% YoY; 2024 implied as 13.9e9/1.272. Rounding retained; verify against primary PDF table if published.
2024,annual,shopee_gaap_marketplace_revenue,10862263000,USD,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,2026-08-12,GAAP marketplace revenue for Shopee,Prior-year column in FY2025 exhibit
2025,annual,shopee_gmv,127400000000,USD,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,2026-08-12,GMV includes shipping and other charges,Primary exhibit
2025,annual,shopee_gross_orders,13900000000,orders,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,2026-08-12,Confirmed orders regardless of settlement/returns,Primary exhibit
2025,annual,shopee_gaap_marketplace_revenue,14545894000,USD,Sea Limited,Shopee,Multi-country,Sea Limited FY2025 results exhibit,https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,2026-08-12,GAAP marketplace revenue for Shopee,Primary exhibit
2026Q1,quarter,shopee_gmv,37300000000,USD,Sea Limited,Shopee,Multi-country,Sea Limited 1Q2026 results PDF,https://cdn.sea.com/investor/1Q2026/HEEdeRDe0NyiZ1PrWIvH/2026.05.12%20Sea%20First%20Quarter%202026%20Results.pdf,2026-08-12,Quarterly GMV,Primary IR PDF
2026Q1,quarter,shopee_gross_orders,4000000000,orders,Sea Limited,Shopee,Multi-country,Sea Limited 1Q2026 results PDF,https://cdn.sea.com/investor/1Q2026/HEEdeRDe0NyiZ1PrWIvH/2026.05.12%20Sea%20First%20Quarter%202026%20Results.pdf,2026-08-12,Quarterly gross orders,Primary IR PDF
2025Q1,quarter,ecommerce_service_fee_from_tokopedia,217000000000,IDR,GoTo,E-commerce service fee,Indonesia,GoTo 1Q25 earnings press release,https://www.gotocompany.com/en/news/press/goto-group-achieves-record-profitability-and-strong-growth-as-it-reports-2025-first-quarter-earnings,2026-08-12,Service fee revenue from PT Tokopedia,NOT GMV; post-deconsolidation residual link to Tokopedia/TikTok Shop combined scale
2025,annual,ecommerce_service_fee_from_tokopedia,820000000000,IDR,GoTo,E-commerce service fee,Indonesia,GoTo FY2025 earnings call transcript summary,https://stockanalysis.com/quote/idx/GOTO/transcripts/399032-q4-2025/,2026-08-12,Full-year service fee from Tokopedia,Management states fee based on combined Tokopedia + TikTok Shop GMV; fee itself is not GMV
2025Q4,quarter,ecommerce_service_fee_from_tokopedia,193000000000,IDR,GoTo,E-commerce service fee,Indonesia,GoTo FY2025 earnings call transcript summary,https://stockanalysis.com/quote/idx/GOTO/transcripts/399032-q4-2025/,2026-08-12,Q4 service fee from Tokopedia,NOT comparable to Sea Shopee GMV
2025,annual,core_gtv,400000000000000,IDR,GoTo,Core GTV,Indonesia-centric group,GoTo FY2025 earnings call transcript summary,https://stockanalysis.com/quote/idx/GOTO/transcripts/399032-q4-2025/,2026-08-12,Core GTV excludes merchant payment gateway GTV and Vietnam ODS GTV; remaining e-commerce platforms exclude Tokopedia after deconsolidation,EXCLUDES Tokopedia; not a Tokopedia GMV series
2025,annual,annual_transacting_users,66000000,users,GoTo,Ecosystem ATU,Indonesia-centric,GoTo FY2025 earnings call transcript summary,https://stockanalysis.com/quote/idx/GOTO/transcripts/399032-q4-2025/,2026-08-12,Unique users of ODS and/or FinTech over past twelve months,NOT Tokopedia-only buyers; not comparable to Shopee active buyers
2024-01-31,event_marker,tokopedia_deconsolidation_flag,1,boolean_flag,GoTo,Structural disclosure break,Indonesia,GoTo TikTok transaction completion PR,https://www.gotocompany.com/en/news/press/goto-and-tiktok-announce-transaction-completion-formalizing-strategic-partnership-for-indonesia,2026-08-12,Marker that Tokopedia is no longer consolidated like pre-deal e-commerce GTV,Use to split pre/post metric dictionaries in analysis
