claim_id,section,entity,metric,grain,year,value,unit,comparator_year,comparator_value,change_value,change_unit,evidence_type,comparability,source,source_url,confidence,supports_hypothesis,conclusion_tag,notes
G5-001,baseline,Shopee,market_share_pct,year x entity x metric,2024,46.0,percent,2025,54.0,8.0,percentage_points,OBSERVED,DIRECT,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,none,shopee_strengthened,Indonesia platform GMV share estimate
G5-002,baseline,Shopee,gmv_estimate_usd,year x entity x metric,2024,26000000000,USD,2025,31200000000,5200000000,USD,OBSERVED,DIRECT,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,none,shopee_strengthened,Approx US$26B to US$31.2B
G5-003,baseline,Legacy Tokopedia,market_share_pct,year x entity x metric,2024,23.0,percent,2025,,,,OBSERVED,CONDITIONAL,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,H1,legacy_2024_only,2025 standalone MISSING — do not compare to Combined 38
G5-004,baseline,TikTok Shop Indonesia,market_share_pct,year x entity x metric,2024,11.0,percent,2025,,,,OBSERVED,CONDITIONAL,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,H3,tts_2024_split,2025 standalone share often unpublished when Combined reported
G5-005,baseline,Indonesia market,market_total_gmv_usd,year x market,2024,56500000000,USD,2025,57700000000,1200000000,USD,OBSERVED,DIRECT,Bisnis / Kompas / MW Low Down,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,none,market_slow_growth,+2.2% YoY
G5-006,baseline,Combined Tokopedia + TikTok Shop,market_share_pct,year x entity x metric,2024,34.0,percent,2025,38.0,4.0,percentage_points,DERIVED,CONDITIONAL,Derived 23+11 from Bisnis/MW 2024 split,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,H2,additive_combined_baseline,Additive only if no MW overlap; NOT Legacy Tokopedia
G5-007,structural_break,Combined under PT Tokopedia,transaction_completion,event,2024,1,binary_flag,,,,,OBSERVED,DIRECT,GoTo official press release,https://www.gotocompany.com/en/news/press/goto-and-tiktok-announce-transaction-completion-formalizing-strategic-partnership-for-indonesia,HIGH,H2,structural_break_start,31 Jan 2024 completion; TikTok controlling stake
G5-008,structural_break,TikTok Shop Indonesia,transaction_functionality_paused,event,2023,1,binary_flag,,,,,OBSERVED,DIRECT,TikTok Newsroom Indonesia,https://newsroom.tiktok.com/in-id/informasi-terkini-dari-tiktok-shop-indonesia,HIGH,H3,regulatory_shock,4 Oct 2023 17:00 WIB
G5-009,2025_position,Shopee,market_share_pct,year x entity x metric,2025,54.0,percent,2024,46.0,8.0,percentage_points,OBSERVED,DIRECT,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,none,endstate_leader,Clear #1
G5-010,2025_position,Combined Tokopedia + TikTok Shop,market_share_pct,year x entity x metric,2025,38.0,percent,2024,34.0,4.0,percentage_points,OBSERVED,NOT COMPARABLE,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,H2,endstate_combined_number_two,NOT COMPARABLE to Legacy Tokopedia 2024; comparator is additive baseline
G5-011,2025_position,Combined Tokopedia + TikTok Shop,gmv_estimate_usd,year x entity x metric,2025,21900000000,USD,2024,19210000000,2690000000,USD,OBSERVED,NOT COMPARABLE,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,H2,combined_gmv_only,Not Legacy Tokopedia GMV
