year,country,platform,entity_type,gmv_estimate_usd_billion,market_share_pct,market_total_gmv_usd_billion,rank,source_publisher,source_report,citation_url,source_date_accessed,methodology_note,confidence
2020,Indonesia,Shopee,standalone,14.2,37.0,40.1,1.0,Momentum Works (via Youngster.id),Blooming Ecommerce in Indonesia,https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,2026-08-12,Industry GMV/share estimate reproduced from secondary article citing Momentum Works; not official company-reported GMV,MEDIUM
2020,Indonesia,Tokopedia,standalone,14.0,35.0,40.1,2.0,Momentum Works (via Youngster.id),Blooming Ecommerce in Indonesia,https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,2026-08-12,Industry GMV/share estimate reproduced from secondary article citing Momentum Works; not official company-reported GMV,MEDIUM
2020,Indonesia,Lazada,standalone,4.5,11.0,40.1,3.0,Momentum Works (via Youngster.id),Blooming Ecommerce in Indonesia,https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,2026-08-12,Industry GMV/share estimate reproduced from secondary article citing Momentum Works,MEDIUM
2020,Indonesia,Bukalapak,standalone,3.0,7.0,40.1,4.0,Momentum Works (via Youngster.id),Blooming Ecommerce in Indonesia,https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,2026-08-12,Industry GMV/share estimate reproduced from secondary article citing Momentum Works,MEDIUM
2022,Indonesia,Shopee,standalone,,36.0,,1.0,Momentum Works (via Kementerian Perdagangan journal / Bisnis),Ecommerce in Southeast Asia 2023 (as cited),https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,2026-08-12,Share only publicly verified for 2022 Indonesia; GMV dollar values not captured from free materials for this year×platform,MEDIUM
2022,Indonesia,Tokopedia,standalone,,35.0,,2.0,Momentum Works (via Kementerian Perdagangan journal / Bisnis),Ecommerce in Southeast Asia 2023 (as cited),https://jurnal.kemendag.go.id/index.php/TPJ/article/download/958/427/6007,2026-08-12,Share only; corroborating Bisnis article https://teknologi.bisnis.com/read/20240207/266/1739008/tiktok-tokopedia-masuk-radar-pantauan-kppu,MEDIUM
2022,Indonesia,Blibli,standalone,,4.0,,,Momentum Works (via Bisnis),Ecommerce research 2022 (as cited),https://teknologi.bisnis.com/read/20240207/266/1739008/tiktok-tokopedia-masuk-radar-pantauan-kppu,2026-08-12,Secondary reproduction; GMV not stated in citation used,MEDIUM
2022,Indonesia,Bukalapak,standalone,,10.0,,,Momentum Works (via Bisnis),Ecommerce research 2022 (as cited),https://teknologi.bisnis.com/read/20240207/266/1739008/tiktok-tokopedia-masuk-radar-pantauan-kppu,2026-08-12,Secondary reproduction; GMV not stated in citation used,MEDIUM
2022,Indonesia,Lazada,standalone,,10.0,,,Momentum Works (via Bisnis),Ecommerce research 2022 (as cited),https://teknologi.bisnis.com/read/20240207/266/1739008/tiktok-tokopedia-masuk-radar-pantauan-kppu,2026-08-12,Secondary reproduction; GMV not stated in citation used,MEDIUM
2022,Indonesia,TikTok Shop,standalone,,5.0,,,Momentum Works (via Bisnis quoting public commentary),Ecommerce research 2022 (as cited),https://teknologi.bisnis.com/read/20240207/266/1739008/tiktok-tokopedia-masuk-radar-pantauan-kppu,2026-08-12,Attributed in article to Momentum Works 2022 via public commentary; treat cautiously,LOW
2023,Indonesia,Shopee,standalone,21.52,40.0,53.8,1.0,Momentum Works (via CNBC Indonesia),Ecommerce in Southeast Asia 2024,https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,2026-08-12,Indonesia GMV total and Shopee share from CNBC citing MW; GMV computed in article as 40% of US$53.8B,MEDIUM
2023,Indonesia,Tokopedia,standalone,,30.0,53.8,2.0,Momentum Works (via CNBC Indonesia),Ecommerce in Southeast Asia 2024,https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,2026-08-12,Share only in free citation; standalone Tokopedia before completed combination effects fully reflected in later years,MEDIUM
2023,Indonesia,Bukalapak,standalone,,11.0,53.8,3.0,Momentum Works (via CNBC Indonesia),Ecommerce in Southeast Asia 2024,https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,2026-08-12,Share only in free citation,MEDIUM
2023,Indonesia,TikTok Shop,standalone,,9.0,53.8,4.0,Momentum Works (via CNBC Indonesia),Ecommerce in Southeast Asia 2024,https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,2026-08-12,Share only; regulatory disruption occurred late 2023,MEDIUM
2024,Indonesia,Shopee,standalone,26.0,46.0,56.5,1.0,Momentum Works (via Bisnis.com),Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Secondary reproduction of MW Indonesia platform estimates; GMV approximate as reported,MEDIUM
2024,Indonesia,Tokopedia,standalone,,23.0,56.5,2.0,Momentum Works (via Bisnis.com),Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Standalone Tokopedia share reported for 2024; separate from TikTok Shop,MEDIUM
2024,Indonesia,TikTok Shop,standalone,,11.0,56.5,3.0,Momentum Works (via Bisnis.com),Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Standalone TikTok Shop share for 2024,MEDIUM
2024,Indonesia,Blibli,standalone,,4.0,56.5,,Momentum Works (via Bisnis.com),Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Share only,MEDIUM
2024,Indonesia,Bukalapak,standalone,,10.0,56.5,,Momentum Works (via Bisnis.com),Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Share for 2024; platform later exits physical-goods marketplace focus per MW commentary,MEDIUM
2024,Indonesia,Lazada,standalone,,7.0,56.5,,Momentum Works (via Bisnis.com),Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Share only,MEDIUM
2025,Indonesia,Shopee,standalone,31.2,54.0,57.7,1.0,Momentum Works (via Bisnis.com),Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Secondary reproduction of MW Indonesia estimates,MEDIUM
