year,entity,metric,value,unit,data_type,formula_or_basis,source_name,source_url,source_date_accessed,comparable_to,notes,confidence
2024,Combined Tokopedia + TikTok Shop,gmv_estimate_usd_billion,19.21,USD_billions,DERIVED,12.995 + 6.215,Sum of derived 2024 entity GMVs,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,2025 combined GMV 21.9,Same additivity caveat,MEDIUM
2024,Combined Tokopedia + TikTok Shop,market_share_pct,34.0,percent,DERIVED,23 + 11,Sum of separately reported 2024 standalone shares,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,2025 combined share 38%,Additive baseline only if no overlap double-counting in source methodology,MEDIUM
2024,Indonesia market,market_total_gmv_usd_billion,56.5,USD_billions,SECONDARY_ESTIMATE,Indonesia total platform e-commerce GMV estimate,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,2025 Indonesia total,Also corroborated by Business Times / Databoks citing MW,MEDIUM
2024,Legacy Tokopedia,gmv_estimate_usd_billion,12.995,USD_billions,DERIVED,56.5 * 0.23,Derived from Bisnis/MW total and Tokopedia share,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Implied Legacy Tokopedia 2025 residual (if additive method valid),Assumes share applies to stated Indonesia total; rounding retained,MEDIUM
2024,Legacy Tokopedia,market_share_pct,23.0,percent,SECONDARY_ESTIMATE,Standalone Tokopedia share for 2024 as published,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Legacy Tokopedia 2025 standalone (MISSING); not comparable to 2025 combined without break label,Standalone entity in 2024 reporting,MEDIUM
2024,Shopee,gmv_estimate_usd_billion,26.0,USD_billions,SECONDARY_ESTIMATE,As published (approx) in secondary article citing MW,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Shopee 2025 GMV estimate in same article,Approximate as reported,MEDIUM
2024,Shopee,market_share_pct,46.0,percent,SECONDARY_ESTIMATE,As published in secondary article citing Momentum Works Ecommerce SEA 2026,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,Shopee 2025 share; Tokopedia/TTS 2024 shares in same article family,Indonesia marketplace GMV share estimate; not official company figure,MEDIUM
2024,TikTok Shop Indonesia,gmv_estimate_usd_billion,6.215,USD_billions,DERIVED,56.5 * 0.11,Derived from Bisnis/MW total and TTS share,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,TTS Indonesia 2025 reported GMV estimate,Assumes share applies to stated Indonesia total,MEDIUM
2024,TikTok Shop Indonesia,market_share_pct,11.0,percent,SECONDARY_ESTIMATE,Standalone TikTok Shop share for 2024 as published,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,TTS 2025 Indonesia GMV/share if separately reported,Standalone entity in 2024 reporting,MEDIUM
2025,Combined Tokopedia + TikTok Shop,gmv_estimate_usd_billion,21.9,USD_billions,SECONDARY_ESTIMATE,Article states ~US$21.9B from 38% of US$57.7B,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,2024 additive combined GMV 19.21 (derived),Combined entity only,MEDIUM
