year,entity,metric,value,unit,market_share,geography,period,source,source_url,source_date,source_type,methodology,comparability,confidence,evidence_type,notes
2025,Shopee Indonesia,market_share_pct,54.0,percent,54.0,Indonesia,FY2025,Bisnis.com citing Momentum Works Ecommerce in Southeast Asia 2026,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-05-08,SECONDARY,MW platform ecommerce GMV share estimate,DIRECT,MEDIUM,OBSERVED,Same MW secondary family as 2022-2024 Shopee shares in market_position; DIRECT within that series
2025,Shopee Indonesia,gmv_estimate_usd,31200000000,USD,54.0,Indonesia,FY2025,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-05-08,SECONDARY,MW Indonesia platform GMV estimate,DIRECT,MEDIUM,OBSERVED,Comparable to Shopee 2024 ~US$26B in same MW secondary series
2025,Combined Tokopedia + TikTok Shop,market_share_pct,38.0,percent,38.0,Indonesia,FY2025,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-05-08,SECONDARY,MW combined entity GMV share,NOT COMPARABLE,MEDIUM,OBSERVED,NOT COMPARABLE to Legacy Tokopedia 2022-2024 standalone shares; structural break. CONDITIONAL vs additive 2024 Combined baseline 34% only
2025,Combined Tokopedia + TikTok Shop,gmv_estimate_usd,21900000000,USD,38.0,Indonesia,FY2025,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-05-08,SECONDARY,38% of Indonesia US$57.7B as reported,NOT COMPARABLE,MEDIUM,OBSERVED,Combined entity GMV only; not Legacy Tokopedia
2025,Indonesia total e-commerce market,market_total_gmv_usd,57700000000,USD,,Indonesia,FY2025,Bisnis.com; Business Times; Databoks/Katadata citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-04-14,SECONDARY_HIGH,MW Indonesia platform ecommerce total GMV,DIRECT,MEDIUM,OBSERVED,+2.2% vs 2024 US$56.5B same MW family; scope excludes lifestyle/travel per Databoks MW note
2025,Indonesia total e-commerce market,yoy_gmv_growth_pct,2.2,percent,,Indonesia,FY2025 vs FY2024,Business Times / TechNode / Databoks citing Momentum Works,https://www.businesstimes.com.sg/international/asean/south-east-asia-e-commerce-gmv-grows-us157-6-billion-2025,2026-04-14,SECONDARY_HIGH,MW reported YoY growth,DIRECT,MEDIUM,OBSERVED,Attributed partly to Bukalapak exit and Tokopedia GMV rationalisation
2025,Legacy Tokopedia,market_share_pct,,percent,,Indonesia,FY2025,Gate 5.5 final search — MW free reproductions report Combined only,n/a,2026-08-12,UNKNOWN,No verified public standalone figure located,NOT COMPARABLE,HIGH,UNKNOWN,STOP: Standalone Legacy Tokopedia 2025 GMV/share not publicly observable. Do not fabricate. Digivestasi 9.6% rejected as APJII access mislabel.
2025,Legacy Tokopedia,gmv_estimate_usd,,USD,,Indonesia,FY2025,Gate 5.5 final search — GoTo IR discloses fee on combined GMV only,https://investasi.kontan.co.id/news/berapa-kontribusi-cuan-tokopedia-ke-keuangan-goto-di-2025,2026-08-12,UNKNOWN,No verified public standalone figure; no additive residual allowed,NOT COMPARABLE,HIGH,UNKNOWN,KEEP MISSING. GoTo CFO: fee based on combined Tokopedia+TTS GMV — not Legacy GMV disclosure.
2025,TikTok Shop Indonesia,gmv_estimate_usd,13100000000,USD,,Indonesia,FY2025,Digital in Asia; Kompas citing Momentum Works / Tabcut,https://digitalinasia.com/tiktok-shop-shopee-gmv-tracker/,2026-02-11,SECONDARY_HIGH,TTS-labeled Indonesia platform GMV estimate citing MW,CONDITIONAL,MEDIUM,OBSERVED,Entity-labeled TTS. CONDITIONAL vs Combined US$21.9B (additivity unproven). Not Legacy Tokopedia.
2025,TikTok Shop Indonesia,market_share_pct,,percent,,Indonesia,FY2025,Gate 5.5 — MW Indonesia table publishes Combined not separate TTS share for 2025,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-08-12,UNKNOWN,Standalone TTS share not separately published in Bisnis MW 2025 Indonesia table,NOT COMPARABLE,HIGH,UNKNOWN,2024 TTS share was 11% OBSERVED; 2025 TTS share keep missing rather than invent from Combined
2025,Shopee Indonesia,internet_user_access_share_pct,53.22,percent,,Indonesia,APJII survey wave 2025,Kompas summarizing APJII Survei Penetrasi Internet 2025,https://tekno.kompas.com/read/2025/08/11/10230017/6-platform-toko-online-paling-banyak-diakses-di-indonesia,2025-08-11,SECONDARY_HIGH,APJII ~8700 respondents; % of internet users accessing marketplace,CONDITIONAL,MEDIUM,OBSERVED,Access ≠ GMV. Comparable to APJII prior-year access (41.65%) not to MW GMV shares
2025,TikTok Shop Indonesia,internet_user_access_share_pct,27.37,percent,,Indonesia,APJII survey wave 2025,Kompas summarizing APJII 2025,https://tekno.kompas.com/read/2025/08/11/10230017/6-platform-toko-online-paling-banyak-diakses-di-indonesia,2025-08-11,SECONDARY_HIGH,APJII access share,CONDITIONAL,MEDIUM,OBSERVED,Vs 12.20% prior year. Access ≠ GMV. Branding caveat Shop Tokopedia
2025,Legacy Tokopedia,internet_user_access_share_pct,9.57,percent,,Indonesia,APJII survey wave 2025,Kompas summarizing APJII 2025,https://tekno.kompas.com/read/2025/08/11/10230017/6-platform-toko-online-paling-banyak-diakses-di-indonesia,2025-08-11,SECONDARY_HIGH,APJII access share for Tokopedia listed separately,CONDITIONAL,MEDIUM,OBSERVED,Vs 9.40% prior year — near-flat. Strongest available Legacy 2025 indicator; NOT GMV
2025,Lazada Indonesia,market_share_pct,6.0,percent,6.0,Indonesia,FY2025,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-05-08,SECONDARY,MW platform GMV share,DIRECT,MEDIUM,OBSERVED,Comparable to Lazada 2024 7% in same MW secondary series
2025,Blibli Indonesia,market_share_pct,3.0,percent,3.0,Indonesia,FY2025,Bisnis.com citing Momentum Works,https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,2026-05-08,SECONDARY,MW platform GMV share,DIRECT,MEDIUM,OBSERVED,Comparable to Blibli 2024 4% same series
2025,GoTo,ecommerce_service_fee_idr,820000000000,IDR,,Indonesia,FY2025,CNBC Indonesia / Kontan citing GoTo FY2025 briefing,https://www.cnbcindonesia.com/market/20260312120442-17-718389/terkuak-segini-kontribusi-tokopedia-terhadap-keuangan-goto-di-2025,2026-03-12,SECONDARY_HIGH,GoTo disclosed fee; CFO states fee on combined Tokopedia+TTS GMV,NOT COMPARABLE,HIGH,OBSERVED,Fee ≠ platform GMV. Confirms combined commercial base; cannot recover Legacy GMV without disclosed rate schedule
2025,Indonesia total e-commerce market,bi_ecommerce_transaction_value_idr,134670000000000,IDR,,Indonesia,2025Q3,Bank Indonesia via Bisnis / Katadata,https://teknologi.bisnis.com/read/20251110/84/1927623/tokopedia-dan-tiktok-shop-blak-blakan-dampak-tanggal-kembar-pada-transaksi,2025-11-10,SECONDARY_HIGH,BI aggregate online shopping transactions Q3 2025,NOT COMPARABLE,MEDIUM,OBSERVED,Aggregate market CONTEXT; not platform-level; quarterly not annual MW GMV; currency IDR
2025,Indonesia market,tokopedia_gmv_rationalisation_noted,1,binary_flag,,Indonesia,FY2025 commentary,Momentum Works Low Down; Business Times; Databoks citing MW,https://thelowdown.momentum.asia/new-report-southeast-asias-platform-ecommerce-reaches-us157-6b-in-2025-with-top-platforms-expanding-share-to-98-8/,2026-04-14,PRIMARY,MW public report note / CEO commentary,CONDITIONAL,HIGH,OBSERVED,Qualitative against Legacy boom; not a numeric share
